Volume(mm);Year
769.8;2020
1317.2;2019
1798.1;2018
1394.3;2017
1018.9;2016
1817.8;2015
2020.9;2014
1847.9;2013
1206.0;2012
1500.9;2011
1011.2;2010
1291.1;2009
1435.3;2008
1317.3;2007
878.2;2006
1513.7;2005
1098.5;2004
1802.5;2003
2265.7;2002
1763.1;2001
1768.9;2000
1378.8;1999
1421.5;1998
1730.3;1997
1797.0;1996
1468.0;1995
1715.1;1994
1533.0;1993
1433.7;1992
926.0;1991
1325.1;1990
1163.7;1989
1334.1;1988
1283.3;1987
1515.7;1986
987.1;1985
1859.4;1984
1643.4;1983
1273.1;1982
1093.5;1981
1360.2;1980
1361.4;1979
896.6;1978
1547.6;1977
1633.2;1976
1445.9;1975
979.8;1974
1556.6;1973
1855.5;1972
1510.8;1971
1416.7;1970
1072.6;1969
1183.5;1968
1411.4;1967
2147.2;1966
1553.5;1965
1172.9;1964
1585.9;1963
946.6;1962
;1961
1253.8;1960
1622.0;1959
1467.2;1958
1214.9;1957
948.6;1956
709.8;1955
745.7;1954
644.3;1953
725.0;1952
1110.6;1951
1154.9;1950
1318.4;1949
1246.2;1948
1311.3;1947
1305.4;1946
1350.4;1945
1334.4;1944
859.3;1943
